"ｺｰﾄﾞ","勘定科目名"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"," 6年  7月"," 6年  8月"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","3,000","12,595","25,463","29,674","27,256","28,907","12,689","67,000","36,249","11,045","22,937"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","178,623,537","173,591,023","195,768,346","192,055,041","186,104,592","190,093,421","174,949,767","176,931,097","173,598,936","184,369,394","194,413,453"
,"営業利益（損失）","0","-9,256,121","-2,233,385","52,526,933","1,212,891","-21,517,610","25,582,982","-16,724,141","-7,749,698","-5,595,933","-13,283,031","3,642,819"
"7111","受取利息","0","12","3","0","21","1,112","395","28","1,119","359","259","25,673"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","702,281","334,177","1,027,043","797,582","529,002","2,135,634","1,989,049","246,576","1,094,627","391,993","828,175"
,"営業外収益計","0","702,293","334,180","1,027,043","797,603","530,114","2,136,029","1,989,077","247,695","1,094,986","392,252","853,848"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","5,799","-49,551","0","-7,444","69,997","-8,930","19,481","-3,021","1,996","239,006","-1,000"
"7514",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","125,000","0","0","300,000"
,"営業外費用計","0","5,799","-49,551","0","-7,444","69,997","-8,930","19,481","121,979","1,996","239,006","299,000"
,"経常利益（損失）","0","-8,559,627","-1,849,654","53,553,976","2,017,938","-21,057,493","27,727,941","-14,754,545","-7,623,982","-4,502,943","-13,129,785","4,197,667"
