コード,科目名,3年 4月,3年 5月,3年 6月,3年 7月,3年 8月,3年 9月,3年 10月,3年 11月,3年 12月,4年 1月,4年 2月,4年 3月,4年 4月,4年 5月,4年 6月,4年 7月,4年 8月,4年 9月,4年 10月,4年 11月,4年 12月,5年 1月,5年 2月,5年 3月,5年 4月,5年 5月,5年 6月,5年 7月,5年 8月,5年 9月,5年 10月,5年 11月,5年 12月,6年 1月,6年 2月,6年 3月,6年 4月,6年 5月,6年 6月,6年 7月,6年 8月
830,支払利息,150656,152232,163529,146518,166233,148317,136570,153704,132485,147016,124388,131816,117151,134417,114474,112254,115642,139464,64039,60935,60580,59167,52809,54782,52531,51936,49167,644993,16245,8726,8318,8466,11242,0,0,0,0,0,0,0,0
840,雑損失,1266071,844199,1545159,811200,758962,777423,756639,750693,1576263,756513,756333,692383,1162997,1157814,1886960,1148962,1140975,1160862,1162235,1159200,1976600,1142993,1135051,1154027,709141,714676,1433475,711342,712474,714225,714722,692469,1388810,688294,696233,701098,703290,721815,1419102,717511,707898
,営業外費用,1416727,996431,1708688,957718,925195,925740,893209,904397,1708748,903529,880721,824199,1280148,1292231,2001434,1261216,1256617,1300326,1226274,1220135,2037180,1202160,1187860,1208809,761672,766612,1482642,1356335,728719,722951,723040,700935,1400052,688294,696233,701098,703290,721815,1419102,717511,707898
,経常利益,76928413,6879185,63831958,7100130,8345419,5511484,-15704855,11163687,2492636,5332392,-6774754,3902270,4406373,5029415,91412167,6363530,6044301,23073553,6248631,7152420,13062194,-40776269,6989764,27143179,4496962,3709655,20811329,4799272,5877041,6306294,1151466,6754051,642220,5508097,4508658,26333745,1375553,-733640,-1515126,-559957,3827767
900,固定資産売却益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,972508,0,0,1683793,0
,特別利益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,972508,0,0,1683793,0
921,固定資産除却損,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,特別損失,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,税引前当期純利益,76928413,6879185,63831958,7100130,8345419,5511484,-15704855,11163686,2492636,5332392,-6774754,3902270,4406373,5029415,91412167,6363530,6044301,23073553,6248631,7152420,13062194,-40776269,6989764,27143179,4496962,3709655,20811329,4799272,5877041,6306294,1151466,6754051,642220,5508097,4508658,26333745,2348061,-733640,-1515126,1123836,3827767
930,法人税住民税事業税額,3,1,4084081,1,178,39,22,20,63195,20,200,21,7,5,20483259,5,182,0,7,1,63180,6,164,6,6,6,63260,6,126,17,13,10,63184,10,120,10,11,10,63388,10,1510
,当期純利益,76928410,6879184,59747877,7100129,8345241,5511445,-15704877,11163666,2429441,5332372,-6774954,3902249,4406366,5029410,70928908,6363525,6044119,23073546,6248624,7152419,12999014,-40776275,6989600,27143173,4496956,3709649,20748069,4799266,5876915,6306277,1151453,6754041,2345510,5508087,4508538,26333735,2348050,-733650,-1578514,1123826,3826257

